LINE, REF, QTY, TYP, PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUpi Board,,,TOTAL,
,,,,,,4/8/19 (16197^5),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),25.20,=C5*I5,RPUPI
,,,,,,,,,,
,,,,,,NOTES,,,,


